time,Real,Predicted Value
33.0,45.89999999999999,154.2862
33.3,46.3,155.09763
33.6,46.8,155.87564
33.9,50.10000000000001,156.76163
34.2,52.1,157.51692
34.5,53.20000000000001,158.33926
34.8,54.2,158.99516
35.1,53.800000000000004,159.66327
35.4,53.4,160.19232
35.7,54.6,160.73187
36.0,55.5,161.14447
36.3,54.9,161.60477
36.6,55.5,161.92781
37.0,55.2,162.31915
37.2,53.1,162.71162
37.5,53.6,163.17911
37.8,56.60000000000001,163.69775
38.1,58.5,164.35278
38.4,57.900000000000006,165.0232
38.7,58.2,165.73276
39.0,62.1,166.52351
39.3,66.3,167.3209
39.6,67.4,168.09633
39.9,66.6,168.95566
40.2,65.7,169.80128
40.5,65.3,170.50284
40.8,67.6,171.2632
41.1,69.70000000000002,172.11491
41.4,71.0,172.95967
41.7,73.3,173.80487
42.0,73.3,174.76358
42.3,71.9,175.95497
42.6,69.1,177.20882
42.9,70.4,178.63567
43.2,75.4,180.09973
43.5,77.70000000000002,181.8033
43.8,76.9,183.36354
44.1,74.1,185.19067
44.4,72.2,186.91925
44.7,70.30000000000001,188.86026
45.0,69.70000000000002,190.80824
45.3,71.5,192.92914
45.6,76.3,194.88133
45.9,81.2,196.86536
46.2,81.2,198.57959
46.5,79.1,200.75124
46.8,78.80000000000001,202.45839
47.1,79.30000000000001,204.61539
47.4,82.6,206.2836
47.7,86.6,208.18544
48.0,87.00000000000001,209.3873
48.3,87.6,210.82533
48.6,89.0,211.76764
48.9,90.5,213.207
49.2,95.8,214.22899
49.5,95.90000000000002,215.68694
49.8,91.7,216.75009
50.1,93.7,218.37775
50.4,94.9,219.3874
50.7,97.4,221.04198
51.0,101.0,222.26741
51.3,102.00000000000001,223.95813
51.6,97.4,225.42389
51.9,96.4,227.43985
52.2,103.00000000000001,229.19919
52.5,118.0,231.61751
52.8,114.0,233.73535
53.1,109.0,236.05046
53.4,116.0,238.37543
53.7,122.00000000000001,240.89598
54.0,121.00000000000001,243.46284
54.3,134.0,246.13681
54.6,134.0,248.93372
54.9,128.0,251.41331
55.2,132.0,254.01965
55.5,122.00000000000001,256.8172
55.8,136.0,260.50812
56.1,151.0,263.31607
56.4,137.0,267.20483
56.7,135.0,271.30426
57.0,147.0,276.09692
57.3,159.0,280.54245
57.6,174.00000000000003,286.7097
57.9,174.00000000000003,292.25287
58.2,163.0,298.0245
58.5,151.0,304.38315
58.8,152.0,309.86304
59.1,152.0,316.60782
59.4,166.0,323.97873
59.7,176.0,329.1384
60.0,166.0,335.8677
60.3,160.0,342.5795
60.6,160.0,350.27063
60.9,159.0,357.72986
61.2,168.0,365.7722
61.5,198.0,372.93228
61.8,207.0,380.24414
62.1,194.0,386.4262
62.4,193.0,392.90802
62.7,208.00000000000003,399.66937
63.0,212.0,405.9864
63.3,201.0,411.11267
63.6,193.0,415.8373
63.9,204.00000000000003,420.6307
64.2,221.00000000000003,423.69608
64.5,231.0,428.47247
64.8,221.00000000000003,433.01132
65.1,238.99999999999997,438.69458
65.4,225.0,440.67447
65.7,244.99999999999997,447.50967
66.0,248.99999999999997,451.467
66.3,240.99999999999997,459.298
66.6,284.99999999999994,461.32312
66.9,248.0,468.48166
67.2,265.0,470.65265
67.5,288.0,479.6442
67.8,303.0,481.85565
68.1,284.99999999999994,489.09332
68.4,260.0,491.78577
68.7,244.99999999999997,499.1442
69.0,229.99999999999997,501.45505
69.3,238.0,510.15936
69.6,261.0,510.15878
69.9,274.0,520.87897
70.2,254.99999999999997,519.60144
70.5,264.0,528.38416
70.8,266.0,530.56836
71.1,278.0,538.6936
71.4,298.0,538.37
71.7,288.99999999999994,542.8103
72.0,274.0,540.892
72.3,284.99999999999994,542.41705
72.6,300.0,539.8649
72.9,303.0,541.5079
73.2,281.0,539.2609
73.5,273.0,536.54956
73.8,265.0,533.5457
74.1,293.0,530.9021
74.4,293.0,528.2596
74.7,286.0,526.2943
75.0,286.0,522.91345
75.3,294.0,517.3833
75.6,314.0,515.48645
75.9,364.99999999999994,511.62698
76.2,444.0,510.2949
76.5,474.00000000000006,502.4854
76.8,425.99999999999994,500.06528
77.1,377.0,491.291
77.4,481.0,492.01822
77.7,408.0,484.36838
78.0,355.0,482.94434
78.3,417.99999999999994,475.23303
78.6,529.0,475.77185
78.9,447.0,470.5085
79.2,445.00000000000006,476.69598
79.5,538.0,478.67227
79.8,446.00000000000006,490.408
80.1,416.0,494.29996
80.4,436.00000000000006,504.85077
80.7,431.0,518.07654
81.0,398.99999999999994,529.8468
81.3,341.99999999999994,534.11926
81.6,348.0,549.63617
81.9,391.0,562.5265
82.2,416.99999999999994,573.1845
82.5,372.0,580.5759
82.8,343.0,594.5144
83.1,320.99999999999994,599.4017
83.4,318.0,605.5764
83.7,345.0,610.80286
84.0,349.0,614.8472
84.3,347.0,616.27985
84.6,398.0,615.2548
84.9,385.0,614.46545
85.2,389.0,614.22815
85.5,448.0,613.8421
85.8,489.0,609.4602
86.1,442.00000000000006,605.0858
86.4,387.0,598.3605
86.7,387.0,591.696
87.0,372.0,585.8254
87.3,341.0,579.2374
87.6,364.99999999999994,571.2195
87.9,390.0,568.25867
88.2,420.0,562.30255
88.5,444.0,557.6015
88.8,451.0,558.44336
89.1,513.0,560.0722
89.4,546.0,557.69525
89.7,492.00000000000006,555.5395
90.0,523.0,554.0413
90.3,502.0,552.4428
90.6,489.0,547.34155
90.9,424.0,546.5812
91.2,392.0,544.41547
91.5,388.0,546.0054
91.8,385.0,546.3289
92.1,419.0,549.46387
92.4,466.00000000000006,554.9088
92.7,431.0,564.14655
