time,Real,Predicted Value
33.0,27.899999999999995,49.111275
33.3,28.1,49.62033
33.6,28.4,50.11463
33.9,28.699999999999996,50.688133
34.2,29.1,51.20012
34.5,29.499999999999996,51.751976
34.8,29.9,52.231667
35.1,30.299999999999997,52.72332
35.4,30.599999999999998,53.14782
35.7,31.0,53.57124
36.0,31.299999999999997,53.93148
36.3,31.6,54.30135
36.6,31.9,54.623207
37.0,32.2,54.9631
37.2,32.6,55.295933
37.5,33.0,55.658264
37.8,33.5,56.06067
38.1,34.0,56.525223
38.4,34.5,57.087196
38.7,34.9,57.663612
39.0,35.3,58.3082
39.3,35.8,58.92743
39.6,36.3,59.60743
39.9,36.9,60.26295
40.2,37.599999999999994,60.985752
40.5,38.4,61.632793
40.8,39.0,62.30404
41.1,39.4,62.96544
41.4,39.7,63.66836
41.7,39.900000000000006,64.39605
42.0,40.1,65.18761
42.3,40.39999999999999,66.0549
42.6,40.8,66.93834
42.9,41.3,67.959656
43.2,41.7,68.97091
43.5,42.1,70.22531
43.8,42.5,71.34671
44.1,42.8,72.68451
44.4,43.10000000000001,73.88232
44.7,43.3,75.27368
45.0,43.599999999999994,76.53409
45.3,43.9,77.95293
45.6,44.3,79.1942
45.9,44.7,80.52439
46.2,45.2,81.6035
46.5,45.8,82.89596
46.8,46.5,83.9062
47.1,47.1,85.24428
47.4,47.8,86.25535
47.7,48.5,87.454445
48.0,49.3,88.23802
48.3,50.099999999999994,89.22578
48.6,50.9,89.92144
48.9,51.7,90.88444
49.2,52.6,91.552315
49.5,53.5,92.5377
49.8,54.5,93.29057
50.1,55.6,94.3899
50.4,56.89999999999999,95.21606
50.7,58.10000000000001,96.42281
51.0,59.10000000000001,97.39416
51.3,60.099999999999994,98.69577
51.6,61.0,99.842834
51.9,62.0,101.34761
52.2,63.199999999999996,102.756424
52.5,64.2,104.47299
52.8,65.1,106.11378
53.1,65.80000000000001,107.84199
53.4,66.4,109.635414
53.7,66.9,111.64264
54.0,67.29999999999998,113.70723
54.3,67.6,115.89909
54.6,67.79999999999998,118.20374
54.9,68.1,120.41949
55.2,68.5,122.73229
55.5,69.1,125.25346
55.8,69.79999999999998,128.03116
56.1,70.4,130.67276
56.4,71.1,133.13156
56.7,71.9,136.2691
57.0,73.1,139.15927
57.3,74.4,142.09343
57.6,76.0,144.81326
57.9,77.7,147.9404
58.2,79.30000000000001,150.0317
58.5,80.70000000000002,153.05533
58.8,82.29999999999998,154.93271
59.1,84.1,157.86998
59.4,86.20000000000002,160.16388
59.7,88.40000000000002,162.48512
60.0,90.69999999999999,164.19485
60.3,93.0,167.22896
60.6,95.1,169.3892
60.9,97.0,172.61032
61.2,98.7,174.9528
61.5,100.0,178.36499
61.8,101.0,180.76407
62.1,102.0,184.06116
62.4,103.0,187.0897
62.7,104.0,191.37831
63.0,104.0,194.7313
63.3,105.00000000000001,198.55785
63.6,106.00000000000001,201.84518
63.9,106.00000000000001,205.70436
64.2,107.00000000000001,208.87291
