time,Real,Predicted Value
33.0,45.89999999999999,149.93227
33.3,46.3,150.6072
33.6,46.8,151.28185
33.9,50.10000000000001,151.9792
34.2,52.1,152.67197
34.5,53.20000000000001,153.36157
34.8,54.2,154.04485
35.1,53.800000000000004,154.69417
35.4,53.4,155.35439
35.7,54.6,155.99187
36.0,55.5,156.60968
36.3,54.9,157.22093
36.6,55.5,157.8508
37.0,55.2,158.46916
37.2,53.1,159.14331
37.5,53.6,159.8649
37.8,56.60000000000001,160.63037
38.1,58.5,161.43251
38.4,57.900000000000006,162.26169
38.7,58.2,163.09384
39.0,62.1,163.94695
39.3,66.3,164.82022
39.6,67.4,165.69206
39.9,66.6,166.57713
40.2,65.7,167.44588
40.5,65.3,168.26802
40.8,67.6,169.06511
41.1,69.70000000000002,169.88646
41.4,71.0,170.73102
41.7,73.3,171.57704
42.0,73.3,172.428
42.3,71.9,173.34926
42.6,69.1,174.34703
42.9,70.4,175.42812
43.2,75.4,176.5379
43.5,77.70000000000002,177.67577
43.8,76.9,178.8085
44.1,74.1,179.99248
44.4,72.2,181.24123
44.7,70.30000000000001,182.5574
45.0,69.70000000000002,183.96623
45.3,71.5,185.42682
45.6,76.3,186.90826
45.9,81.2,188.3785
46.2,81.2,189.87596
46.5,79.1,191.4707
46.8,78.80000000000001,193.1634
47.1,79.30000000000001,194.92644
47.4,82.6,196.69682
47.7,86.6,198.4505
48.0,87.00000000000001,200.17906
48.3,87.6,201.87361
48.6,89.0,203.57983
48.9,90.5,205.38176
49.2,95.8,207.30727
49.5,95.90000000000002,209.32195
49.8,91.7,211.36624
50.1,93.7,213.42775
50.4,94.9,215.52478
50.7,97.4,217.68163
51.0,101.0,219.95187
51.3,102.00000000000001,222.30467
51.6,97.4,224.71243
51.9,96.4,227.1825
52.2,103.00000000000001,229.71759
52.5,118.0,232.39189
52.8,114.0,235.12936
53.1,109.0,237.85072
53.4,116.0,240.58556
53.7,122.00000000000001,243.31798
54.0,121.00000000000001,246.10037
54.3,134.0,248.97005
54.6,134.0,251.9036
54.9,128.0,254.77475
55.2,132.0,257.56723
55.5,122.00000000000001,260.41345
55.8,136.0,263.5737
