time,Real,Predicted Value
33.0,27.899999999999995,55.832287
33.3,28.1,56.131138
33.6,28.4,56.438087
33.9,28.699999999999996,56.760437
34.2,29.1,57.0913
34.5,29.499999999999996,57.432663
34.8,29.9,57.77484
35.1,30.299999999999997,58.13266
35.4,30.599999999999998,58.482845
35.7,31.0,58.833775
36.0,31.299999999999997,59.191116
36.3,31.6,59.540943
36.6,31.9,59.889015
37.0,32.2,60.248787
37.2,32.6,60.605568
37.5,33.0,60.966984
37.8,33.5,61.334652
38.1,34.0,61.720413
38.4,34.5,62.121014
38.7,34.9,62.538475
39.0,35.3,62.9727
39.3,35.8,63.420033
39.6,36.3,63.88438
39.9,36.9,64.35713
40.2,37.599999999999994,64.84385
40.5,38.4,65.35719
40.8,39.0,65.88098
41.1,39.4,66.43167
41.4,39.7,66.99965
41.7,39.900000000000006,67.59617
42.0,40.1,68.22685
42.3,40.39999999999999,68.873085
42.6,40.8,69.54018
42.9,41.3,70.227394
43.2,41.7,70.943245
43.5,42.1,71.68925
43.8,42.5,72.47004
44.1,42.8,73.29908
44.4,43.10000000000001,74.17055
44.7,43.3,75.07449
45.0,43.599999999999994,76.01098
45.3,43.9,76.95599
45.6,44.3,77.91707
45.9,44.7,78.88498
46.2,45.2,79.872665
46.5,45.8,80.88001
46.8,46.5,81.91481
47.1,47.1,82.97208
47.4,47.8,84.065056
47.7,48.5,85.1739
48.0,49.3,86.3086
48.3,50.099999999999994,87.457695
48.6,50.9,88.63063
48.9,51.7,89.82234
49.2,52.6,91.03578
49.5,53.5,92.27374
49.8,54.5,93.54192
50.1,55.6,94.842766
50.4,56.89999999999999,96.17813
50.7,58.10000000000001,97.55353
51.0,59.10000000000001,98.98047
51.3,60.099999999999994,100.46383
51.6,61.0,102.001854
51.9,62.0,103.60255
52.2,63.199999999999996,105.2621
52.5,64.2,106.97844
52.8,65.1,108.765274
53.1,65.80000000000001,110.61903
53.4,66.4,112.53931
53.7,66.9,114.5387
54.0,67.29999999999998,116.633545
54.3,67.6,118.820816
54.6,67.79999999999998,121.09696
54.9,68.1,123.437386
55.2,68.5,125.82837
55.5,69.1,128.27002
55.8,69.79999999999998,130.79112
56.1,70.4,133.36263
56.4,71.1,135.95398
56.7,71.9,138.53403
57.0,73.1,141.11401
57.3,74.4,143.67825
57.6,76.0,146.22415
57.9,77.7,148.73729
58.2,79.30000000000001,151.1863
58.5,80.70000000000002,153.59045
58.8,82.29999999999998,155.9395
59.1,84.1,158.28365
59.4,86.20000000000002,160.69197
59.7,88.40000000000002,163.14062
60.0,90.69999999999999,165.61914
60.3,93.0,168.15775
60.6,95.1,170.83029
60.9,97.0,173.70764
61.2,98.7,176.7947
61.5,100.0,180.02332
61.8,101.0,183.31387
62.1,102.0,186.6359
62.4,103.0,189.99352
62.7,104.0,193.4146
63.0,104.0,196.9582
63.3,105.00000000000001,200.56892
63.6,106.00000000000001,204.18195
63.9,106.00000000000001,207.74727
64.2,107.00000000000001,211.24512
64.5,109.00000000000001,214.6582
64.8,110.00000000000001,218.07764
65.1,111.00000000000001,221.46658
65.4,113.00000000000001,224.69344
65.7,114.00000000000001,227.66641
66.0,115.00000000000001,230.43785
66.3,118.0,232.99974
66.6,121.0,235.32076
66.9,125.0,237.3805
67.2,129.0,239.21184
67.5,133.0,240.95099
67.8,137.0,242.71367
68.1,142.0,244.48434
68.4,146.0,246.29524
68.7,149.0,248.1471
69.0,151.0,250.02286
69.3,153.0,251.94061
69.6,156.0,253.89967
69.9,158.0,256.05014
70.2,161.0,258.37408
70.5,162.0,260.94598
70.8,164.0,263.836
71.1,165.00000000000003,267.07693
71.4,166.00000000000003,270.5621
71.7,167.0,274.14023
72.0,168.0,277.64926
72.3,169.0,280.8825
72.6,171.0,283.82828
72.9,172.0,286.621
73.2,173.0,289.2806
73.5,174.0,291.6902
73.8,175.0,293.83337
74.1,176.0,295.67957
74.4,177.0,297.27045
74.7,178.0,298.6692
75.0,180.0,299.80276
75.3,181.0,300.62305
75.6,183.0,301.2363
75.9,185.0,301.7839
76.2,187.0,302.26025
76.5,188.0,302.55298
76.8,190.00000000000003,302.68115
77.1,193.0,302.68954
77.4,196.0,302.737
77.7,199.0,302.8005
78.0,200.0,302.8487
78.3,202.0,302.89456
78.6,204.0,302.92215
78.9,207.0,302.99484
79.2,211.0,303.29672
79.5,213.0,304.0701
79.8,215.0,305.14865
80.1,218.00000000000003,306.0015
80.4,221.00000000000003,306.41025
80.7,224.00000000000003,306.81677
81.0,227.0,306.89215
81.3,230.99999999999997,306.71213
81.6,233.99999999999997,306.61667
81.9,236.99999999999997,306.91452
82.2,238.99999999999997,307.26053
82.5,240.99999999999997,307.77707
82.8,243.99999999999997,308.62933
83.1,245.99999999999997,309.33298
83.4,248.99999999999997,309.9246
83.7,248.99999999999997,310.52124
84.0,247.99999999999997,311.1645
