time,Real,Predicted Value
45.0,0.04949999999999999,0.13040888
45.3,0.05050000000000002,0.13106781
45.6,0.05099999999999999,0.13175806
45.9,0.05199999999999999,0.13260296
46.2,0.05349999999999999,0.13346803
46.5,0.05449999999999999,0.13428092
46.8,0.055499999999999994,0.13494095
47.1,0.056499999999999995,0.1354115
47.4,0.057499999999999996,0.13581699
47.7,0.059,0.13635641
48.0,0.06,0.13715655
48.3,0.06149999999999997,0.13813567
48.6,0.063,0.13909343
48.9,0.065,0.13997641
49.2,0.06649999999999998,0.14079073
49.5,0.0685,0.1414057
49.8,0.07,0.14188361
50.1,0.07199999999999998,0.14228696
50.4,0.07350000000000001,0.1427764
50.7,0.07500000000000001,0.14354175
51.0,0.07649999999999998,0.14462706
51.3,0.07800000000000001,0.14598766
51.6,0.07949999999999999,0.1474618
51.9,0.08100000000000002,0.14887667
52.2,0.08300000000000002,0.15017459
52.5,0.08449999999999999,0.15132254
52.8,0.0865,0.15253186
53.1,0.089,0.15380728
53.4,0.09100000000000003,0.15515593
53.7,0.0935,0.15650678
54.0,0.096,0.1580269
54.3,0.0985,0.15975007
54.6,0.101,0.16145307
54.9,0.10350000000000001,0.16305134
55.2,0.10699999999999998,0.16458312
55.5,0.11050000000000001,0.16599303
55.8,0.11350000000000002,0.1674479
56.1,0.11699999999999999,0.16905811
56.4,0.1205,0.17056623
56.7,0.12350000000000003,0.17188376
57.0,0.12649999999999997,0.1731362
57.3,0.1295,0.17446658
57.6,0.1325,0.17615947
57.9,0.136,0.17815235
58.2,0.13949999999999999,0.18016869
58.5,0.1425,0.18190703
58.8,0.14600000000000002,0.18307692
59.1,0.149,0.18388608
59.4,0.152,0.18457395
59.7,0.155,0.18555713
60.0,0.1585,0.18708596
60.3,0.162,0.18909535
60.6,0.166,0.19140768
60.9,0.17,0.19349235
61.2,0.17350000000000002,0.19508746
61.5,0.17600000000000002,0.196352
61.8,0.17450000000000002,0.19767368
62.1,0.1705,0.19921657
62.4,0.166,0.20090625
62.7,0.1645,0.20281848
63.0,0.164,0.20490897
63.3,0.162,0.2070168
63.6,0.1595,0.20924735
63.9,0.1595,0.2115323
64.2,0.1615,0.21383935
64.5,0.163,0.21630397
64.8,0.1635,0.21869883
65.1,0.1625,0.22135797
65.4,0.161,0.22453961
65.7,0.159,0.22789696
66.0,0.1575,0.23133071
66.3,0.157,0.23457634
66.6,0.1575,0.23724273
66.9,0.16,0.23952863
67.2,0.1635,0.2417357
67.5,0.1675,0.24425337
67.8,0.1715,0.24690466
68.1,0.17500000000000002,0.24905637
68.4,0.17750000000000002,0.25173557
68.7,0.18000000000000002,0.25522077
69.0,0.18449999999999997,0.25889054
69.3,0.18850000000000003,0.26303768
69.6,0.19149999999999998,0.26753134
69.9,0.19399999999999998,0.27105606
70.2,0.19699999999999998,0.2744495
70.5,0.19999999999999998,0.27879244
70.8,0.204,0.28343523
71.1,0.209,0.28914553
71.4,0.2155,0.29448295
71.7,0.2225,0.29877436
72.0,0.229,0.30419856
72.3,0.23450000000000001,0.309775
72.6,0.23899999999999996,0.31517696
72.9,0.24149999999999996,0.32031816
73.2,0.24250000000000002,0.32467204
73.5,0.24149999999999996,0.32935756
73.8,0.24049999999999996,0.33470845
74.1,0.24000000000000002,0.34120846
74.4,0.24100000000000002,0.34790617
74.7,0.24250000000000002,0.35364044
75.0,0.24450000000000002,0.35815862
75.3,0.24649999999999997,0.36173218
75.6,0.24850000000000003,0.36625093
75.9,0.25,0.37235093
76.2,0.25049999999999994,0.37948638
76.5,0.25,0.38721868
76.8,0.252,0.3945763
77.1,0.258,0.39904255
77.4,0.267,0.40013662
77.7,0.27749999999999997,0.39938396
78.0,0.28500000000000003,0.39754444
78.3,0.2895,0.39589977
78.6,0.29500000000000004,0.39498928
78.9,0.3015,0.3943231
79.2,0.3085,0.39398172
79.5,0.3135,0.3949876
79.8,0.31600000000000006,0.39745212
80.1,0.3175,0.39989802
80.4,0.31999999999999995,0.40265933
80.7,0.32399999999999995,0.40413606
81.0,0.32799999999999996,0.4062796
81.3,0.3315,0.40777877
81.6,0.3325,0.40809843
81.9,0.33100000000000007,0.40961292
82.2,0.32899999999999996,0.40808523
82.5,0.3275,0.41020077
82.8,0.3255,0.4151324
83.1,0.3215,0.4198928
83.4,0.3185,0.42620432
83.7,0.31899999999999995,0.43219557
84.0,0.3235,0.43901485
84.3,0.3295,0.4456188
84.6,0.3345,0.45224568
84.9,0.3365,0.45690987
85.2,0.33399999999999996,0.45763633
85.5,0.32899999999999996,0.45795435
85.8,0.32299999999999995,0.46132544
86.1,0.31700000000000006,0.46621677
86.4,0.3105,0.4733161
86.7,0.30500000000000005,0.48238575
87.0,0.3025,0.48899865
87.3,0.3045,0.49537247
87.6,0.30899999999999994,0.5024177
87.9,0.3125,0.5081878
88.2,0.31399999999999995,0.5127183
88.5,0.3135,0.5165557
88.8,0.3115,0.52060395
89.1,0.3095,0.52388793
89.4,0.30899999999999994,0.52759063
89.7,0.30899999999999994,0.5295671
90.0,0.3045,0.52877736
90.3,0.2965,0.5275009
90.6,0.29000000000000004,0.5269328
90.9,0.2895,0.52648157
91.2,0.2955,0.5269162
91.5,0.3065,0.5281788
91.8,0.3195,0.52750945
92.1,0.3305,0.52578235
92.4,0.34099999999999997,0.52878517
92.7,0.35250000000000004,0.53886205
93.0,0.363,0.54493415
93.3,0.37149999999999994,0.5513728
93.6,0.37750000000000006,0.55819285
93.9,0.382,0.56002516
94.2,0.384,0.55787486
94.5,0.382,0.5602515
94.8,0.37950000000000006,0.56526995
95.1,0.37850000000000006,0.5662906
95.4,0.37750000000000006,0.57248855
95.7,0.378,0.576166
96.0,0.379,0.5717552
96.3,0.37950000000000006,0.56758595
96.6,0.381,0.560814
96.9,0.38450000000000006,0.55158
97.2,0.38850000000000007,0.5433726
97.5,0.39149999999999996,0.54018617
97.8,0.38950000000000007,0.53548837
98.1,0.38549999999999995,0.5314547
98.4,0.382,0.5322471
98.7,0.38049999999999995,0.5313755
99.0,0.381,0.5235656
99.3,0.383,0.5126579
99.6,0.38649999999999995,0.50254357
99.9,0.39,0.49492982
100.0,0.393,0.4906519
101.0,0.39649999999999996,0.4925706
101.0,0.4,0.49852872
101.0,0.405,0.5048539
101.0,0.41000000000000003,0.50753653
102.0,0.41000000000000003,0.5026566
102.0,0.405,0.49047026
102.0,0.3995000000000001,0.47212556
103.0,0.39549999999999996,0.4517289
103.0,0.39350000000000007,0.4350558
103.0,0.39549999999999996,0.42496803
104.0,0.39849999999999997,0.4263861
104.0,0.397,0.43653977
104.0,0.39049999999999996,0.45020244
104.0,0.38549999999999995,0.46387187
105.0,0.393,0.4674659
105.0,0.41000000000000003,0.4556313
105.0,0.42500000000000004,0.4358965
106.0,0.43000000000000005,0.40666148
106.0,0.44000000000000006,0.37805876
106.0,0.45000000000000007,0.35947135
107.0,0.4650000000000001,0.35866746
107.0,0.4750000000000001,0.37530917
107.0,0.48,0.3989494
107.0,0.49,0.42261404
108.0,0.5,0.43752503
108.0,0.51,0.4397342
108.0,0.515,0.4376155
109.0,0.525,0.4330945
109.0,0.53,0.43163764
109.0,0.53,0.4374696
110.0,0.535,0.44494805
110.0,0.535,0.45668757
110.0,0.515,0.46910033
110.0,0.5,0.47040522
111.0,0.49,0.46833405
111.0,0.49,0.4562866
111.0,0.49,0.43893895
112.0,0.495,0.42590976
112.0,0.5,0.4167495
112.0,0.505,0.418603
113.0,0.515,0.42948124
113.0,0.53,0.4439394
113.0,0.535,0.45467716
113.0,0.54,0.44832402
114.0,0.545,0.43556648
114.0,0.545,0.42644173
114.0,0.54,0.42041755
115.0,0.53,0.42314148
115.0,0.515,0.42225686
115.0,0.5,0.41570145
116.0,0.49,0.4167904
116.0,0.485,0.41528562
116.0,0.49,0.416729
116.0,0.5,0.42040205
117.0,0.5,0.42198142
117.0,0.495,0.42155266
117.0,0.485,0.42301992
118.0,0.4750000000000001,0.42366034
118.0,0.4650000000000001,0.4249894
118.0,0.45500000000000007,0.41859907
119.0,0.45500000000000007,0.41168144
119.0,0.45500000000000007,0.40993458
119.0,0.45000000000000007,0.40654007
119.0,0.45000000000000007,0.4080261
120.0,0.45000000000000007,0.40653902
120.0,0.45000000000000007,0.40564802
120.0,0.45000000000000007,0.41257164
121.0,0.45000000000000007,0.42184243
121.0,0.45000000000000007,0.43279663
121.0,0.45000000000000007,0.43713808
122.0,0.44500000000000006,0.4380427
122.0,0.44500000000000006,0.4457528
122.0,0.45000000000000007,0.46039772
122.0,0.4600000000000001,0.47876817
123.0,0.4750000000000001,0.5020997
123.0,0.48,0.51178575
123.0,0.485,0.52050734
124.0,0.49,0.5302769
124.0,0.495,0.5347973
124.0,0.5,0.545877
125.0,0.515,0.5501618
125.0,0.525,0.55323994
125.0,0.53,0.563406
125.0,0.53,0.5686464
126.0,0.525,0.5681216
126.0,0.525,0.55916286
126.0,0.53,0.5486822
127.0,0.535,0.5362833
127.0,0.545,0.5176144
127.0,0.55,0.5041998
128.0,0.555,0.5011624
128.0,0.55,0.51239043
128.0,0.54,0.52754587
128.0,0.535,0.54394436
129.0,0.525,0.56027836
129.0,0.52,0.5720439
129.0,0.525,0.5817658
130.0,0.535,0.5842353
130.0,0.54,0.5763151
130.0,0.54,0.5645728
131.0,0.54,0.5519691
131.0,0.54,0.54123574
131.0,0.53,0.5268781
131.0,0.515,0.51751536
132.0,0.505,0.5156539
132.0,0.505,0.5132631
132.0,0.51,0.5144217
133.0,0.515,0.5127428
133.0,0.51,0.5090701
133.0,0.505,0.5011362
134.0,0.495,0.489788
134.0,0.485,0.4837231
134.0,0.4750000000000001,0.4775721
134.0,0.4650000000000001,0.47185674
135.0,0.4600000000000001,0.46583518
135.0,0.4600000000000001,0.46387967
135.0,0.4600000000000001,0.4657797
136.0,0.4650000000000001,0.4631882
136.0,0.4750000000000001,0.46322837
136.0,0.48,0.4622884
137.0,0.485,0.4638417
137.0,0.485,0.46672297
137.0,0.48,0.4668706
137.0,0.4700000000000001,0.4695468
138.0,0.4650000000000001,0.47107905
138.0,0.4600000000000001,0.475705
138.0,0.45500000000000007,0.48291367
139.0,0.45000000000000007,0.48633683
