Time,THCP,THCP01,THCP02,THCP03,THCP04,THCP05,THCP06,THCP07,THCP08,THCP09,THCP10,THCP11,THCP12,THCP13,THCP14,THCP15,THCP16,THCP17,GAS,GAS01,GAS02,GAS03,GAS04,GAS05,GAS06,GAS07,GAS08,GAS09,GAS10,GAS11,GAS12,GAS13,GAS14,GAS15,GAS16,GAS17,GAS18,GAS19,GAS20,GAS21,GAS22,GAS23,GAS24,GAS25,GAS26,GAS27,GAS28,GAS29,GAS30,GAS31,GAS32,GAS33,GAS34,GAS35,GAS36,GAS37,GAS38,GAS39,GAS40,GAS41,GAS42,Average_of_temperature
0.0,19.999997,19.999997,19.999996,19.999997,19.999997,19.999997,19.999996,19.999997,19.999996,19.999997,19.999997,19.999997,19.999996,19.999996,19.999996,19.999997,19.999997,19.999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
0.4225194,19.999988,19.999991,19.999994,19.999979,19.999983,19.999989,19.999967,19.999981,19.999991,19.999963,19.999973,19.999984,19.999836,19.999939,19.999983,19.999929,19.999953,19.999975,-2.1632516e-05,-1.4198423e-05,-7.22539e-06,-4.2413041e-05,-3.3561786e-05,-1.9217914e-05,-7.0820035e-05,-3.7379727e-05,-1.4595263e-05,-8.225688e-05,-5.7751595e-05,-3.1018621e-05,-0.00039076595,-0.00013907734,-3.1904378e-05,-0.00016489412,-0.00010590957,-5.2150288e-05,19.999996,19.999996,19.999998,19.999995,20.000005,19.999999,19.999999,20.000002,19.999999,19.999995,19.999995,19.999995,19.999997,19.999994,19.999999,19.999997,19.999997,19.999995,20.000002,19.999997,19.999993,19.999993,19.999998,19.999998,19.999999,19.999997320000006
0.63377911,19.999978,19.999982,19.99999,19.999957,19.999959,19.99998,19.999934,19.999961,19.999983,19.99992,19.999935,19.999971,19.999644,19.999866,19.999969,19.999844,19.999888,19.999953,-2.4701019e-05,-2.2657257e-05,-1.1979362e-05,-6.0441231e-05,-7.172993e-05,-2.4172245e-05,-8.7867234e-05,-6.1602731e-05,-2.0060269e-05,-0.00011766635,-0.00011264401,-3.5021889e-05,-0.00052277043,-0.00020135376,-3.549337e-05,-0.0002329814,-0.000189115,-5.647382e-05,19.999983,19.999983,19.999991,19.99998,20.000018,19.999996,19.999996,20.000006,19.999995,19.999979,19.999981,19.999981,19.99999,19.999978,19.999998,19.999987,19.999987,19.999982,20.000008,19.999989,19.999974,19.999974,19.999991,19.999992,19.999997,19.99998944
1.0562985,19.999969,19.999972,19.999986,19.999933,19.999931,19.999972,20.000504,20.000108,19.999974,19.999873,19.999889,19.999958,20.040225,20.059756,19.999955,19.999752,19.999813,19.999931,-2.4701019e-05,-2.2657257e-05,-1.1979362e-05,-6.0441231e-05,-7.172993e-05,-2.4172245e-05,-8.7867234e-05,-6.1602731e-05,-2.0060269e-05,-0.00011766635,-0.00011264401,-3.5021889e-05,-0.00052277043,-0.00020135376,-3.549337e-05,-0.0002329814,-0.000189115,-5.647382e-05,19.999964,19.999964,19.999977,19.99996,20.000028,19.999985,19.999985,20.000002,19.999985,19.99996,19.999957,19.999957,19.999973,19.999955,19.999993,19.999969,19.999969,19.999961,20.000009,19.999979,19.999951,19.999951,19.999981,19.999985,19.999994,19.99997576
1.2675582,19.99996,19.999962,19.999983,19.999893,19.999905,19.999963,20.003703,20.000678,19.99997,19.999796,19.999848,19.999945,20.134506,20.188323,19.99995,19.999605,19.999743,19.99991,-2.0344708e-05,-1.8870789e-05,-6.2197198e-06,-0.00012203026,-6.5147615e-05,-2.4408622e-05,-6.4611998e-05,-1.053102e-05,-5.9110987e-06,-0.00022915335,-0.00010157233,-3.5503242e-05,-0.00062863294,-2.1460897e-05,-5.8899673e-07,-0.00043943888,-0.0001767135,-5.5951211e-05,19.999945,19.999945,19.999964,19.999941,20.000038,19.999974,19.999974,19.999998,19.999975,19.999941,19.999933,19.999933,19.999956,19.999933,19.999988,19.999951,19.999951,19.99994,20.000009,19.99997,19.999929,19.999929,19.99997,19.999977,19.999991,19.999962200000002
1.6900776,19.999953,19.999952,19.999982,19.999845,19.99988,19.999955,20.018041,20.004379,19.999967,19.999706,19.999809,19.999933,20.305558,20.413226,19.999954,19.999433,19.999676,19.999889,-2.0344708e-05,-1.8870789e-05,-6.2197198e-06,-0.00012203026,-6.5147615e-05,-2.4408622e-05,-6.4611998e-05,-1.053102e-05,-5.9110987e-06,-0.00022915335,-0.00010157233,-3.5503242e-05,-0.00062863294,-2.1460897e-05,-5.8899673e-07,-0.00043943888,-0.0001767135,-5.5951211e-05,19.999923,19.999923,19.99995,19.999923,20.000046,19.999958,19.999958,19.999994,19.999965,19.999921,19.999903,19.999903,19.999939,19.999911,19.999983,19.999927,19.999927,19.999919,20.000009,19.99996,19.999904,19.999904,19.99996,19.999969,19.999987,19.999946639999997
1.9013373,19.99995,19.999956,19.999982,19.999798,19.999858,19.999948,20.054447,20.019095,19.999981,19.999614,19.999774,19.999923,20.541494,20.721788,19.99998,19.999252,19.999616,19.999864,-2.2358266e-06,2.863637e-05,-1.9863363e-06,-0.00012058014,-5.9063765e-05,-2.262143e-05,8.9542484e-05,0.00021642642,5.106469e-05,-0.00024089296,-8.6029532e-05,-2.8007153e-05,-0.00046213856,0.00045390501,6.0166354e-05,-0.00048647453,-0.00015589107,-7.2788315e-05,19.999901,19.999901,19.999937,19.999904,20.000053,19.999941,19.999941,19.999989,19.999955,19.999901,19.999873,19.999873,19.999922,19.999889,19.999978,19.999904,19.999904,19.999898,20.000008,19.99995,19.99988,19.99988,19.999949,19.999961,19.999983,19.999931000000004
2.112597,19.999951,19.999962,19.999982,19.999768,19.999844,19.999944,20.105018,20.045805,19.999996,19.999552,19.999753,19.999917,20.746644,20.987191,20.00001,19.99913,19.999579,19.999846,-2.2358266e-06,2.863637e-05,-1.9863363e-06,-0.00012058014,-5.9063765e-05,-2.262143e-05,8.9542484e-05,0.00021642642,5.106469e-05,-0.00024089296,-8.6029532e-05,-2.8007153e-05,-0.00046213856,0.00045390501,6.0166354e-05,-0.00048647453,-0.00015589107,-7.2788315e-05,19.999887,19.999887,19.999928,19.999893,20.000058,19.99993,19.99993,19.999987,19.999948,19.999888,19.999854,19.999854,19.999911,19.999875,19.999974,19.999887,19.999887,19.999885,20.000007,19.999944,19.99986,19.99986,19.999941,19.999956,19.999981,19.99992048
2.5351164,19.999962,19.999981,19.999989,19.999727,19.999831,19.999946,20.246012,20.134313,20.000038,19.999476,19.999739,19.999921,21.128571,21.47772,20.000108,19.99898,19.99955,19.999826,3.4268536e-05,6.3819709e-05,1.977648e-05,-0.00010628697,-3.4225988e-05,7.2632326e-06,0.00030168995,0.00041660029,0.00010813739,-0.00019016942,-2.1021148e-05,1.579145e-05,-6.950244e-05,0.00085252275,0.00012555275,-0.0003746353,-6.1804316e-05,-4.688073e-05,19.999865,19.999865,19.999915,19.999875,20.000064,19.999914,19.999914,19.999982,19.999938,19.999867,19.999825,19.999825,19.999895,19.999853,19.999969,19.999861,19.999861,19.999865,20.000006,19.999934,19.99983,19.99983,19.99993,19.999948,19.999976,19.999904279999996
2.7463761,19.999994,20.000019,20.000009,19.999695,19.999831,19.999965,20.470055,20.29014,20.000121,19.999429,19.99976,19.999949,21.595847,22.070377,20.00032,19.998894,19.999572,19.999822,7.0772899e-05,9.9003047e-05,4.1539296e-05,-9.1993797e-05,-9.3882115e-06,3.7147895e-05,0.00051383742,0.00061677416,0.0001652101,-0.00013944588,4.3987235e-05,5.9590053e-05,0.00032313368,0.0012511405,0.00019093915,-0.00026279606,3.2282442e-05,-2.0973145e-05,19.99985,19.99985,19.999909,19.999865,20.000075,19.999907,19.999907,19.999988,19.999937,19.999854,19.999807,19.999807,19.99989,19.999842,19.999971,19.999844,19.999844,19.999853,20.000012,19.999932,19.999801,19.999801,19.999918,19.999942,19.999976,19.99989528
